eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
we elected her mayor.,wir wählten sie zur bürgermeisterin.,we elected her mayor .,<sos> wir wahlten sie zur burgermeisterin .,wir wahlten sie zur burgermeisterin . <eos>,5,7
please write with a pen.,bitte schreib mit einem füllfederhalter.,please write with a pen .,<sos> bitte schreib mit einem fullfederhalter .,bitte schreib mit einem fullfederhalter . <eos>,6,7
i managed to get in.,es gelang mir hineinzukommen.,i managed to get in .,<sos> es gelang mir hineinzukommen .,es gelang mir hineinzukommen . <eos>,6,6
i don't want the same thing to happen to us.,"ich möchte nicht, dass dasselbe uns passiert.",i do not want the same thing to happen to us .,"<sos> ich mochte nicht , dass dasselbe uns passiert .","ich mochte nicht , dass dasselbe uns passiert . <eos>",12,10
"he's not lazy. on the contrary, i think he's a hard worker.","er ist nicht faul. im gegenteil, ich glaube, dass er hart arbeitet.","he is not lazy . on the contrary , i think he is a hard worker .","<sos> er ist nicht faul . im gegenteil , ich glaube , dass er hart arbeitet .","er ist nicht faul . im gegenteil , ich glaube , dass er hart arbeitet . <eos>",17,17
everything she does shows that she has character.,"alle ihre taten zeigen, dass sie charakter hat.",everything she does shows that she has character .,"<sos> alle ihre taten zeigen , dass sie charakter hat .","alle ihre taten zeigen , dass sie charakter hat . <eos>",9,11
i don't believe you've met tom.,"ich glaube nicht, dass du tom getroffen hast.",i do not believe you have met tom .,"<sos> ich glaube nicht , dass du tom getroffen hast .","ich glaube nicht , dass du tom getroffen hast . <eos>",9,11
i'm taking off.,ich fliege los.,i am taking off .,<sos> ich fliege los .,ich fliege los . <eos>,5,5
tom didn't know what he should do.,"tom wusste nicht, was er tun sollte.",tom did not know what he should do .,"<sos> tom wusste nicht , was er tun sollte .","tom wusste nicht , was er tun sollte . <eos>",9,10
does tom still owe you money?,ist tom euch immer noch geld schuldig?,does tom still owe you money ?,<sos> ist tom euch immer noch geld schuldig ?,ist tom euch immer noch geld schuldig ? <eos>,7,9
i think tom injured himself.,"ich glaube, tom hat sich verletzt.",i think tom injured himself .,"<sos> ich glaube , tom hat sich verletzt .","ich glaube , tom hat sich verletzt . <eos>",6,9
you're a coward.,sie sind ein feigling.,you are a coward .,<sos> sie sind ein feigling .,sie sind ein feigling . <eos>,5,6
schools were built.,schulen wurden gebaut.,schools were built .,<sos> schulen wurden gebaut .,schulen wurden gebaut . <eos>,4,5
promise me you won't go.,"versprechen sie mir, dass sie nicht gehen!",promise me you will not go .,"<sos> versprechen sie mir , dass sie nicht gehen !","versprechen sie mir , dass sie nicht gehen ! <eos>",7,10
everyone knows tom has poor people skills.,"jeder weiß, dass tom sich im sozialen schwertut.",everyone knows tom has poor people skills .,"<sos> jeder wei , dass tom sich im sozialen schwertut .","jeder wei , dass tom sich im sozialen schwertut . <eos>",8,11
do you like robots?,mögen sie roboter?,do you like robots ?,<sos> mogen sie roboter ?,mogen sie roboter ? <eos>,5,5
are you seriously thinking about getting a divorce?,"ziehst du es ernsthaft in erwägerung, dich scheiden zu lassen?",are you seriously thinking about getting a divorce ?,"<sos> ziehst du es ernsthaft in erwagerung , dich scheiden zu lassen ?","ziehst du es ernsthaft in erwagerung , dich scheiden zu lassen ? <eos>",9,13
i just want you to think about me once in a while.,"ich will einfach, dass sie von zeit zu zeit an mich denken.",i just want you to think about me once in a while .,"<sos> ich will einfach , dass sie von zeit zu zeit an mich denken .","ich will einfach , dass sie von zeit zu zeit an mich denken . <eos>",13,15
"as soon as you trust yourself, you will know how to live.","sobald du dir selbst vertraust, wirst du auch zu leben wissen.","as soon as you trust yourself , you will know how to live .","<sos> sobald du dir selbst vertraust , wirst du auch zu leben wissen .","sobald du dir selbst vertraust , wirst du auch zu leben wissen . <eos>",14,14
where did i put it?,wo habe ich sie hingelegt?,where did i put it ?,<sos> wo habe ich sie hingelegt ?,wo habe ich sie hingelegt ? <eos>,6,7
tom took out a loan in order to buy a car.,"tom hat einen kredit aufgenommen, um sich ein auto zu kaufen.",tom took out a loan in order to buy a car .,"<sos> tom hat einen kredit aufgenommen , um sich ein auto zu kaufen .","tom hat einen kredit aufgenommen , um sich ein auto zu kaufen . <eos>",12,14
tom won't change.,tom wird sich nicht ändern.,tom will not change .,<sos> tom wird sich nicht andern .,tom wird sich nicht andern . <eos>,5,7
just leave me alone.,lassen sie mich einfach nur in ruhe!,just leave me alone .,<sos> lassen sie mich einfach nur in ruhe !,lassen sie mich einfach nur in ruhe ! <eos>,5,9
"let's go home, tom.","lass uns nach hause gehen, tom!","let us go home , tom .","<sos> lass uns nach hause gehen , tom !","lass uns nach hause gehen , tom ! <eos>",7,9
that's good news.,das ist eine freudige nachricht.,that is good news .,<sos> das ist eine freudige nachricht .,das ist eine freudige nachricht . <eos>,5,7
these keys are tom's.,das sind toms schlüssel.,these keys are tom 's .,<sos> das sind toms schlussel .,das sind toms schlussel . <eos>,6,6
"ok, thanks again.","okay, nochmal danke.","ok , thanks again .","<sos> okay , nochmal danke .","okay , nochmal danke . <eos>",5,6
he doesn't have a family.,er hat keine familie.,he does not have a family .,<sos> er hat keine familie .,er hat keine familie . <eos>,7,6
keep an eye on the bags.,behalten sie ihr gepäck im auge.,keep an eye on the bags .,<sos> behalten sie ihr gepack im auge .,behalten sie ihr gepack im auge . <eos>,7,8
tom felt happy.,tom fühlte sich glücklich.,tom felt happy .,<sos> tom fuhlte sich glucklich .,tom fuhlte sich glucklich . <eos>,4,6
who did you get this from?,wo hast du das her?,who did you get this from ?,<sos> wo hast du das her ?,wo hast du das her ? <eos>,7,7
tom and three of his friends went camping last weekend.,tom ist am letzten wochenende mit dreien seiner freunde zelten gefahren.,tom and three of his friends went camping last weekend .,<sos> tom ist am letzten wochenende mit dreien seiner freunde zelten gefahren .,tom ist am letzten wochenende mit dreien seiner freunde zelten gefahren . <eos>,11,13
you're famous.,du bist berühmt.,you are famous .,<sos> du bist beruhmt .,du bist beruhmt . <eos>,4,5
tom falls asleep every night watching tv.,tom schläft jeden abend beim fernsehen ein.,tom falls asleep every night watching tv .,<sos> tom schlaft jeden abend beim fernsehen ein .,tom schlaft jeden abend beim fernsehen ein . <eos>,8,9
i wish i could make tom's pain disappear.,"ach, könnte ich doch toms schmerzen verschwinden lassen!",i wish i could make tom 's pain disappear .,"<sos> ach , konnte ich doch toms schmerzen verschwinden lassen !","ach , konnte ich doch toms schmerzen verschwinden lassen ! <eos>",10,11
i don't get you at all.,ich verstehe euch überhaupt nicht.,i do not get you at all .,<sos> ich verstehe euch uberhaupt nicht .,ich verstehe euch uberhaupt nicht . <eos>,8,7
i need a lot of books.,ich brauche viele bücher.,i need a lot of books .,<sos> ich brauche viele bucher .,ich brauche viele bucher . <eos>,7,6
tom didn't know that mary used to teach french.,"tom wusste nicht, dass maria früher einmal französischlehrerin war.",tom did not know that mary used to teach french .,"<sos> tom wusste nicht , dass maria fruher einmal franzosischlehrerin war .","tom wusste nicht , dass maria fruher einmal franzosischlehrerin war . <eos>",11,12
everyone screamed.,alle schrien herum.,everyone screamed .,<sos> alle schrien herum .,alle schrien herum . <eos>,3,5
i told tom to help mary.,"ich sagte tom, dass er maria helfen soll.",i told tom to help mary .,"<sos> ich sagte tom , dass er maria helfen soll .","ich sagte tom , dass er maria helfen soll . <eos>",7,11
you should go to bed early.,du solltest früh schlafen gehen.,you should go to bed early .,<sos> du solltest fruh schlafen gehen .,du solltest fruh schlafen gehen . <eos>,7,7
come here and help me.,komm her und hilf mir.,come here and help me .,<sos> komm her und hilf mir .,komm her und hilf mir . <eos>,6,7
i don't know if he knows it.,"ich weiß nicht, ob er es weiß.",i do not know if he knows it .,"<sos> ich wei nicht , ob er es wei .","ich wei nicht , ob er es wei . <eos>",9,10
where do you want me to put this?,wo soll ich das hier hinstellen?,where do you want me to put this ?,<sos> wo soll ich das hier hinstellen ?,wo soll ich das hier hinstellen ? <eos>,9,8
tom has been behaving rather strangely.,in letzter zeit benimmt sich tom ziemlich merkwürdig.,tom has been behaving rather strangely .,<sos> in letzter zeit benimmt sich tom ziemlich merkwurdig .,in letzter zeit benimmt sich tom ziemlich merkwurdig . <eos>,7,10
that's for you.,das ist für dich.,that is for you .,<sos> das ist fur dich .,das ist fur dich . <eos>,5,6
do you play any sports?,betreibst du irgendwelche sportarten?,do you play any sports ?,<sos> betreibst du irgendwelche sportarten ?,betreibst du irgendwelche sportarten ? <eos>,6,6
your problem is you don't study enough.,du lernst nicht genug. das ist dein problem.,your problem is you do not study enough .,<sos> du lernst nicht genug . das ist dein problem .,du lernst nicht genug . das ist dein problem . <eos>,9,11
have fun.,feier schön!,have fun .,<sos> feier schon !,feier schon ! <eos>,3,4
rabbits love carrots.,kaninchen lieben möhren.,rabbits love carrots .,<sos> kaninchen lieben mohren .,kaninchen lieben mohren . <eos>,4,5
writing love letters isn't easy for me.,liebesbriefe schreiben fällt mir nicht leicht.,writing love letters is not easy for me .,<sos> liebesbriefe schreiben fallt mir nicht leicht .,liebesbriefe schreiben fallt mir nicht leicht . <eos>,9,8
why are you always talking about tom?,warum reden sie ständig über tom?,why are you always talking about tom ?,<sos> warum reden sie standig uber tom ?,warum reden sie standig uber tom ? <eos>,8,8
tom doesn't know i'm mary's boyfriend.,"tom weiß nicht, dass ich marias freund bin.",tom does not know i am mary 's boyfriend .,"<sos> tom wei nicht , dass ich marias freund bin .","tom wei nicht , dass ich marias freund bin . <eos>",10,11
the answer to this question is simple.,die antwort auf diese frage ist einfach.,the answer to this question is simple .,<sos> die antwort auf diese frage ist einfach .,die antwort auf diese frage ist einfach . <eos>,8,9
how could i lie to you?,wie könnte ich sie anlügen?,how could i lie to you ?,<sos> wie konnte ich sie anlugen ?,wie konnte ich sie anlugen ? <eos>,7,7
do you think you'd like to live in boston?,"glaubst du, du würdest es mögen, in boston zu leben?",do you think you would like to live in boston ?,"<sos> glaubst du , du wurdest es mogen , in boston zu leben ?","glaubst du , du wurdest es mogen , in boston zu leben ? <eos>",11,14
i swear i didn't know tom was coming.,"ich schwöre, ich wusste nichts von toms kommen.",i swear i did not know tom was coming .,"<sos> ich schwore , ich wusste nichts von toms kommen .","ich schwore , ich wusste nichts von toms kommen . <eos>",10,11
i think i'm going to cry.,"ich glaube, ich weine gleich.",i think i am going to cry .,"<sos> ich glaube , ich weine gleich .","ich glaube , ich weine gleich . <eos>",8,8
be careful not to trip and fall.,"pass auf, dass du nicht stolperst und fällst.",be careful not to trip and fall .,"<sos> pass auf , dass du nicht stolperst und fallst .","pass auf , dass du nicht stolperst und fallst . <eos>",8,11
this is a picture of the first car i owned.,dies ist ein bild von meinem ersten eigenen wagen.,this is a picture of the first car i owned .,<sos> dies ist ein bild von meinem ersten eigenen wagen .,dies ist ein bild von meinem ersten eigenen wagen . <eos>,11,11
will you still be here when i get back?,"bist du noch da, wenn ich wiederkomme?",will you still be here when i get back ?,"<sos> bist du noch da , wenn ich wiederkomme ?","bist du noch da , wenn ich wiederkomme ? <eos>",10,10
we were waiting for the boat for many hours.,wir warteten viele stunden auf das boot.,we were waiting for the boat for many hours .,<sos> wir warteten viele stunden auf das boot .,wir warteten viele stunden auf das boot . <eos>,10,9
it seems she hates you.,"es scheint so, als ob sie dich hasst.",it seems she hates you .,"<sos> es scheint so , als ob sie dich hasst .","es scheint so , als ob sie dich hasst . <eos>",6,11
let's get a cab.,lassen sie uns ein taxi nehmen!,let us get a cab .,<sos> lassen sie uns ein taxi nehmen !,lassen sie uns ein taxi nehmen ! <eos>,6,8
tom is a real nuisance.,tom ist eine echte landplage.,tom is a real nuisance .,<sos> tom ist eine echte landplage .,tom ist eine echte landplage . <eos>,6,7
please give me something to drink.,geben sie mir bitte etwas zu trinken.,please give me something to drink .,<sos> geben sie mir bitte etwas zu trinken .,geben sie mir bitte etwas zu trinken . <eos>,7,9
i'll stand by you no matter what others may say.,"ich werde dir beistehen, was immer auch andere sagen mögen.",i will stand by you no matter what others may say .,"<sos> ich werde dir beistehen , was immer auch andere sagen mogen .","ich werde dir beistehen , was immer auch andere sagen mogen . <eos>",12,13
tom gave mary plenty to eat.,tom hat mary reichlich zu essen gegeben.,tom gave mary plenty to eat .,<sos> tom hat mary reichlich zu essen gegeben .,tom hat mary reichlich zu essen gegeben . <eos>,7,9
he parked his car in front of the building.,er parkte sein auto vor dem gebäude.,he parked his car in front of the building .,<sos> er parkte sein auto vor dem gebaude .,er parkte sein auto vor dem gebaude . <eos>,10,9
we have two dogs. one is black and the other is white.,"wir haben zwei hunde. der eine ist schwarz, der andere weiß.",we have two dogs . one is black and the other is white .,"<sos> wir haben zwei hunde . der eine ist schwarz , der andere wei .","wir haben zwei hunde . der eine ist schwarz , der andere wei . <eos>",14,15
tom has a decent salary.,tom hat ein ordentliches gehalt.,tom has a decent salary .,<sos> tom hat ein ordentliches gehalt .,tom hat ein ordentliches gehalt . <eos>,6,7
here are your keys.,hier sind deine schlüssel.,here are your keys .,<sos> hier sind deine schlussel .,hier sind deine schlussel . <eos>,5,6
this medicine should be taken every three hours.,diese medizin sollte alle drei stunden eingenommen werden.,this medicine should be taken every three hours .,<sos> diese medizin sollte alle drei stunden eingenommen werden .,diese medizin sollte alle drei stunden eingenommen werden . <eos>,9,10
is your coworker an american?,ist dein kollege amerikaner?,is your coworker an american ?,<sos> ist dein kollege amerikaner ?,ist dein kollege amerikaner ? <eos>,6,6
the boy went down the river on a raft.,der junge fuhr auf einem floß den fluss entlang.,the boy went down the river on a raft .,<sos> der junge fuhr auf einem flo den fluss entlang .,der junge fuhr auf einem flo den fluss entlang . <eos>,10,11
tom was out of town last week.,tom war letzte woche nicht in der stadt.,tom was out of town last week .,<sos> tom war letzte woche nicht in der stadt .,tom war letzte woche nicht in der stadt . <eos>,8,10
mary asked tom to zip up her dress.,"mary hat tom darum gebeten, den reißverschluss ihres kleides zu schließen.",mary asked tom to zip up her dress .,"<sos> mary hat tom darum gebeten , den reiverschluss ihres kleides zu schlieen .","mary hat tom darum gebeten , den reiverschluss ihres kleides zu schlieen . <eos>",9,14
tom was supposed to come.,tom sollte kommen.,tom was supposed to come .,<sos> tom sollte kommen .,tom sollte kommen . <eos>,6,5
you're not allowed to bring food into the library.,man darf kein essen in die bibliothek bringen.,you are not allowed to bring food into the library .,<sos> man darf kein essen in die bibliothek bringen .,man darf kein essen in die bibliothek bringen . <eos>,11,10
how do you feel today?,wie fühlen sie sich heute?,how do you feel today ?,<sos> wie fuhlen sie sich heute ?,wie fuhlen sie sich heute ? <eos>,6,7
the thermometer is an instrument for measuring temperature.,ein thermometer ist ein instrument zum messen der temperatur.,the thermometer is an instrument for measuring temperature .,<sos> ein thermometer ist ein instrument zum messen der temperatur .,ein thermometer ist ein instrument zum messen der temperatur . <eos>,9,11
"i know her, but i'm not acquainted with the rest of the family.","ich kenne sie, bin aber mit dem rest ihrer familie nicht vertraut.","i know her , but i am not acquainted with the rest of the family .","<sos> ich kenne sie , bin aber mit dem rest ihrer familie nicht vertraut .","ich kenne sie , bin aber mit dem rest ihrer familie nicht vertraut . <eos>",16,15
tom was careless.,tom war sorglos.,tom was careless .,<sos> tom war sorglos .,tom war sorglos . <eos>,4,5
we happened to be in boston then.,wir waren da zufällig in boston.,we happened to be in boston then .,<sos> wir waren da zufallig in boston .,wir waren da zufallig in boston . <eos>,8,8
tom's son is getting married.,toms sohn heiratet bald.,tom 's son is getting married .,<sos> toms sohn heiratet bald .,toms sohn heiratet bald . <eos>,7,6
show yourself.,zeige dich!,show yourself .,<sos> zeige dich !,zeige dich ! <eos>,3,4
he has brown eyes.,er hat braune augen.,he has brown eyes .,<sos> er hat braune augen .,er hat braune augen . <eos>,5,6
they did nothing.,sie haben nichts gemacht.,they did nothing .,<sos> sie haben nichts gemacht .,sie haben nichts gemacht . <eos>,4,6
"other than you, i don't have any friends in boston.",außer dir habe ich in boston keine freunde.,"other than you , i do not have any friends in boston .",<sos> auer dir habe ich in boston keine freunde .,auer dir habe ich in boston keine freunde . <eos>,13,10
this building belongs to my family.,dieses gebäude gehört meiner familie.,this building belongs to my family .,<sos> dieses gebaude gehort meiner familie .,dieses gebaude gehort meiner familie . <eos>,7,7
i must get back to work.,ich muss mich wieder an die arbeit machen.,i must get back to work .,<sos> ich muss mich wieder an die arbeit machen .,ich muss mich wieder an die arbeit machen . <eos>,7,10
i agree with your opinion about taxes.,ich stimme deinen ansichten zur steuer zu.,i agree with your opinion about taxes .,<sos> ich stimme deinen ansichten zur steuer zu .,ich stimme deinen ansichten zur steuer zu . <eos>,8,9
it costs a lot.,das kostet eine menge.,it costs a lot .,<sos> das kostet eine menge .,das kostet eine menge . <eos>,5,6
she mistook me for my sister.,sie hielt mich für meine schwester.,she mistook me for my sister .,<sos> sie hielt mich fur meine schwester .,sie hielt mich fur meine schwester . <eos>,7,8
i can't remember your name.,ich kann mich nicht an ihren namen erinnern.,i can not remember your name .,<sos> ich kann mich nicht an ihren namen erinnern .,ich kann mich nicht an ihren namen erinnern . <eos>,7,10
tom heard footsteps and looked up.,tom hörte schritte und blickte auf.,tom heard footsteps and looked up .,<sos> tom horte schritte und blickte auf .,tom horte schritte und blickte auf . <eos>,7,8
it's what i want.,"das ist es, was ich will.",it is what i want .,"<sos> das ist es , was ich will .","das ist es , was ich will . <eos>",6,9
how many times have you gone?,wie oft bist du hingegangen?,how many times have you gone ?,<sos> wie oft bist du hingegangen ?,wie oft bist du hingegangen ? <eos>,7,7
wild animals roamed across the plains.,wilde tiere liefen auf dem grasland umher.,wild animals roamed across the plains .,<sos> wilde tiere liefen auf dem grasland umher .,wilde tiere liefen auf dem grasland umher . <eos>,7,9
tom is going to love you guys.,tom wird euch lieben.,tom is going to love you guys .,<sos> tom wird euch lieben .,tom wird euch lieben . <eos>,8,6
tom vowed he'd never do it.,"tom schwor, dass er das niemals tun würde.",tom vowed he would never do it .,"<sos> tom schwor , dass er das niemals tun wurde .","tom schwor , dass er das niemals tun wurde . <eos>",8,11
i ran into an old friend of mine at the party the other day.,bei der party letztens stieß ich auf einen alten freund.,i ran into an old friend of mine at the party the other day .,<sos> bei der party letztens stie ich auf einen alten freund .,bei der party letztens stie ich auf einen alten freund . <eos>,15,12
did you see my camera?,hast du meinen fotoapparat gesehen?,did you see my camera ?,<sos> hast du meinen fotoapparat gesehen ?,hast du meinen fotoapparat gesehen ? <eos>,6,7
i regret that i can't come today.,"ich finde es bedauerlich, dass ich heute nicht kommen kann.",i regret that i can not come today .,"<sos> ich finde es bedauerlich , dass ich heute nicht kommen kann .","ich finde es bedauerlich , dass ich heute nicht kommen kann . <eos>",9,13
i don't own any expensive jewelry.,ich habe keinen teuren schmuck.,i do not own any expensive jewelry .,<sos> ich habe keinen teuren schmuck .,ich habe keinen teuren schmuck . <eos>,8,7
let's continue from where we left off.,"lasst uns dort weitermachen, wo wir aufgehört haben!",let us continue from where we left off .,"<sos> lasst uns dort weitermachen , wo wir aufgehort haben !","lasst uns dort weitermachen , wo wir aufgehort haben ! <eos>",9,11
my brother paid double the price.,mein bruder hat den doppelten preis bezahlt.,my brother paid double the price .,<sos> mein bruder hat den doppelten preis bezahlt .,mein bruder hat den doppelten preis bezahlt . <eos>,7,9
can you play the violin?,können sie geige spielen?,can you play the violin ?,<sos> konnen sie geige spielen ?,konnen sie geige spielen ? <eos>,6,6
tom is not too pleased.,tom ist nicht sehr erbaut.,tom is not too pleased .,<sos> tom ist nicht sehr erbaut .,tom ist nicht sehr erbaut . <eos>,6,7
i don't speak french fluently.,ich spreche kein fließendes französisch.,i do not speak french fluently .,<sos> ich spreche kein flieendes franzosisch .,ich spreche kein flieendes franzosisch . <eos>,7,7
tom might hear you.,tom könnte sie hören.,tom might hear you .,<sos> tom konnte sie horen .,tom konnte sie horen . <eos>,5,6
tom is going to give up.,tom wird aufgeben.,tom is going to give up .,<sos> tom wird aufgeben .,tom wird aufgeben . <eos>,7,5
tom showed mary some pictures of his hometown.,tom zeigte maria ein paar bilder seiner heimatstadt.,tom showed mary some pictures of his hometown .,<sos> tom zeigte maria ein paar bilder seiner heimatstadt .,tom zeigte maria ein paar bilder seiner heimatstadt . <eos>,9,10
i'm a normal girl.,ich bin ein normales mädchen.,i am a normal girl .,<sos> ich bin ein normales madchen .,ich bin ein normales madchen . <eos>,6,7
tom told a funny story.,tom erzählte eine lustige geschichte.,tom told a funny story .,<sos> tom erzahlte eine lustige geschichte .,tom erzahlte eine lustige geschichte . <eos>,6,7
do you have any sugar?,hast du zucker?,do you have any sugar ?,<sos> hast du zucker ?,hast du zucker ? <eos>,6,5
tom went to the theater with mary.,tom ist mit mary ins theater gegangen.,tom went to the theater with mary .,<sos> tom ist mit mary ins theater gegangen .,tom ist mit mary ins theater gegangen . <eos>,8,9
tom could hardly understand what mary said.,"tom konnte kaum verstehen, was mary sagte.",tom could hardly understand what mary said .,"<sos> tom konnte kaum verstehen , was mary sagte .","tom konnte kaum verstehen , was mary sagte . <eos>",8,10
i don't see any significant difference.,ich erkenne keinen wesentlichen unterschied.,i do not see any significant difference .,<sos> ich erkenne keinen wesentlichen unterschied .,ich erkenne keinen wesentlichen unterschied . <eos>,8,7
i wonder why tom hit mary.,"ich wüsste gerne, warum tom maria geschlagen hat.",i wonder why tom hit mary .,"<sos> ich wusste gerne , warum tom maria geschlagen hat .","ich wusste gerne , warum tom maria geschlagen hat . <eos>",7,11
were you home at ten?,warst du um zehn zu hause?,were you home at ten ?,<sos> warst du um zehn zu hause ?,warst du um zehn zu hause ? <eos>,6,8
i have had a stroke before.,ich hatte schonmal einen schlaganfall.,i have had a stroke before .,<sos> ich hatte schonmal einen schlaganfall .,ich hatte schonmal einen schlaganfall . <eos>,7,7
tom came close to losing an eye.,tom hätte fast ein auge verloren.,tom came close to losing an eye .,<sos> tom hatte fast ein auge verloren .,tom hatte fast ein auge verloren . <eos>,8,8
tom is teaching us french.,tom bringt uns französisch bei.,tom is teaching us french .,<sos> tom bringt uns franzosisch bei .,tom bringt uns franzosisch bei . <eos>,6,7
we'll be watching you now.,wir werden sie jetzt beobachten.,we will be watching you now .,<sos> wir werden sie jetzt beobachten .,wir werden sie jetzt beobachten . <eos>,7,7
the box is too heavy to carry.,"diese kiste ist zu schwer, um sie zu tragen.",the box is too heavy to carry .,"<sos> diese kiste ist zu schwer , um sie zu tragen .","diese kiste ist zu schwer , um sie zu tragen . <eos>",8,12
we would die without air.,ohne luft würden wir sterben.,we would die without air .,<sos> ohne luft wurden wir sterben .,ohne luft wurden wir sterben . <eos>,6,7
we have an incredible north atlantic salmon.,wir haben phantastischen nordatlantischen lachs.,we have an incredible north atlantic salmon .,<sos> wir haben phantastischen nordatlantischen lachs .,wir haben phantastischen nordatlantischen lachs . <eos>,8,7
i don't want to stop working.,ich will nicht aufhören zu arbeiten.,i do not want to stop working .,<sos> ich will nicht aufhoren zu arbeiten .,ich will nicht aufhoren zu arbeiten . <eos>,8,8
"as soon as he saw the policeman, he ran away.","kaum dass er den polizisten sah, ergriff er die flucht.","as soon as he saw the policeman , he ran away .","<sos> kaum dass er den polizisten sah , ergriff er die flucht .","kaum dass er den polizisten sah , ergriff er die flucht . <eos>",12,13
he dressed up as a woman.,er verkleidete sich als frau.,he dressed up as a woman .,<sos> er verkleidete sich als frau .,er verkleidete sich als frau . <eos>,7,7
"while he was lost in thought, he heard his name called.","gedankenverloren hörte er, wie sein name gerufen wurde.","while he was lost in thought , he heard his name called .","<sos> gedankenverloren horte er , wie sein name gerufen wurde .","gedankenverloren horte er , wie sein name gerufen wurde . <eos>",13,11
something's missing.,es fehlt etwas.,something 's missing .,<sos> es fehlt etwas .,es fehlt etwas . <eos>,4,5
i'll never be as good as you.,ich werde nie so gut sein wie ihr.,i will never be as good as you .,<sos> ich werde nie so gut sein wie ihr .,ich werde nie so gut sein wie ihr . <eos>,9,10
i don't let tom go swimming by himself.,ich lasse tom nicht allein schwimmen gehen.,i do not let tom go swimming by himself .,<sos> ich lasse tom nicht allein schwimmen gehen .,ich lasse tom nicht allein schwimmen gehen . <eos>,10,9
why are you doing this to me?,warum tust du mir das an?,why are you doing this to me ?,<sos> warum tust du mir das an ?,warum tust du mir das an ? <eos>,8,8
i used to have that same problem.,ich hatte mal das gleiche problem.,i used to have that same problem .,<sos> ich hatte mal das gleiche problem .,ich hatte mal das gleiche problem . <eos>,8,8
i want you to love me.,"ich will, dass du mich liebst.",i want you to love me .,"<sos> ich will , dass du mich liebst .","ich will , dass du mich liebst . <eos>",7,9
"if it isn't broken, don't fix it.","was nicht kaputt ist, soll man nicht reparieren.","if it is not broken , do not fix it .","<sos> was nicht kaputt ist , soll man nicht reparieren .","was nicht kaputt ist , soll man nicht reparieren . <eos>",11,11
you must not give up.,sie dürfen nicht aufgeben!,you must not give up .,<sos> sie durfen nicht aufgeben !,sie durfen nicht aufgeben ! <eos>,6,6
we helped one another.,wir halfen einander.,we helped one another .,<sos> wir halfen einander .,wir halfen einander . <eos>,5,5
don't walk away when i'm talking to you.,"geh nicht weg, wenn ich mit dir rede.",do not walk away when i am talking to you .,"<sos> geh nicht weg , wenn ich mit dir rede .","geh nicht weg , wenn ich mit dir rede . <eos>",11,11
tom and mary didn't get along very well.,tom und maria kamen nicht besonders gut miteinander aus.,tom and mary did not get along very well .,<sos> tom und maria kamen nicht besonders gut miteinander aus .,tom und maria kamen nicht besonders gut miteinander aus . <eos>,10,11
we're a long way from being finished.,"wir sind noch weit davon entfernt, fertig zu werden.",we are a long way from being finished .,"<sos> wir sind noch weit davon entfernt , fertig zu werden .","wir sind noch weit davon entfernt , fertig zu werden . <eos>",9,12
he heard a noise from the kitchen.,er hörte ein geräusch aus der küche.,he heard a noise from the kitchen .,<sos> er horte ein gerausch aus der kuche .,er horte ein gerausch aus der kuche . <eos>,8,9
we can't go back to boston.,wir können nicht zurück nach boston.,we can not go back to boston .,<sos> wir konnen nicht zuruck nach boston .,wir konnen nicht zuruck nach boston . <eos>,8,8
"you've never been married, have you?","du warst noch nie verheiratet, oder?","you have never been married , have you ?","<sos> du warst noch nie verheiratet , oder ?","du warst noch nie verheiratet , oder ? <eos>",9,9
let's get inside.,gehen wir hinein!,let us get inside .,<sos> gehen wir hinein !,gehen wir hinein ! <eos>,5,5
take tom's weapon.,nimm tom die waffe ab.,take tom 's weapon .,<sos> nimm tom die waffe ab .,nimm tom die waffe ab . <eos>,5,7
i had hoped to meet her there.,"ich hatte gehofft, sie dort zu treffen.",i had hoped to meet her there .,"<sos> ich hatte gehofft , sie dort zu treffen .","ich hatte gehofft , sie dort zu treffen . <eos>",8,10
i'm not happy about this.,ich bin nicht glücklich darüber.,i am not happy about this .,<sos> ich bin nicht glucklich daruber .,ich bin nicht glucklich daruber . <eos>,7,7
we want to make absolutely sure that tom wants to do that.,"wir wollen uns völlig sicher sein, dass tom das machen möchte.",we want to make absolutely sure that tom wants to do that .,"<sos> wir wollen uns vollig sicher sein , dass tom das machen mochte .","wir wollen uns vollig sicher sein , dass tom das machen mochte . <eos>",13,14
it's no use.,es bringt nichts.,it is no use .,<sos> es bringt nichts .,es bringt nichts . <eos>,5,5
i love what i do.,"ich liebe, was ich tue.",i love what i do .,"<sos> ich liebe , was ich tue .","ich liebe , was ich tue . <eos>",6,8
tom says that he wants to settle down.,"tom sagt, er wolle sesshaft werden.",tom says that he wants to settle down .,"<sos> tom sagt , er wolle sesshaft werden .","tom sagt , er wolle sesshaft werden . <eos>",9,9
tom lost his only son in a car accident.,tom hat seinen einzigen sohn bei einem verkehrsunfall verloren.,tom lost his only son in a car accident .,<sos> tom hat seinen einzigen sohn bei einem verkehrsunfall verloren .,tom hat seinen einzigen sohn bei einem verkehrsunfall verloren . <eos>,10,11
it's not going to be that easy.,so einfach wird es nicht.,it is not going to be that easy .,<sos> so einfach wird es nicht .,so einfach wird es nicht . <eos>,9,7
